Title,Genre,Rating,Votes,Runtime
Blood Red Sky,"
Action, Horror, Thriller            ",6.1,21062,121.0
Masters of the Universe: Revelation,"
Animation, Action, Adventure            ",5.0,17870,25.0
The Walking Dead,"
Drama, Horror, Thriller            ",8.2,885805,44.0
Rick and Morty,"
Animation, Adventure, Comedy            ",9.2,414849,23.0
Army of Thieves,"
Action, Crime, Horror            ",0.0,0,
Outer Banks,"
Action, Crime, Drama            ",7.6,25858,50.0
The Last Letter from Your Lover,"
Drama, Romance            ",6.8,5283,110.0
Dexter,"
Crime, Drama, Mystery            ",8.6,665387,53.0
Never Have I Ever,"
Comedy            ",7.9,34530,30.0
Virgin River,"
Drama, Romance            ",7.4,27279,44.0
Gunpowder Milkshake,"
Action, Adventure, Thriller            ",6.0,17989,114.0
Lucifer,"
Crime, Drama, Fantasy            ",8.1,264222,42.0
Fear Street: 1994,"
Drama, Horror, Mystery            ",6.2,50148,107.0
Sex/Life,"
Comedy, Drama, Romance            ",5.4,12172,
American Horror Story,"
Drama, Horror, Thriller            ",8.0,286488,60.0
Grey's Anatomy,"
Drama, Romance            ",7.5,266258,41.0
Breaking Bad,"
Crime, Drama, Thriller            ",9.4,1552311,49.0
The Good Doctor,"
Drama            ",8.1,70871,41.0
Atypical,"
Comedy, Drama            ",8.3,71544,30.0
Stranger Things,"
Drama, Fantasy, Horror            ",8.7,885856,51.0
Fear Street: 1978,"
Drama, Horror, Mystery            ",6.8,36634,109.0
Friends,"
Comedy, Romance            ",8.9,880918,22.0
The Flash,"
Action, Adventure, Drama            ",7.6,320264,43.0
Peaky Blinders,"
Crime, Drama            ",8.8,393414,60.0
He-Man and the Masters of the Universe,"
Animation, Action, Adventure            ",0.0,0,
Chernobyl,"
Drama, History, Romance            ",5.0,4681,136.0
Vikings,"
Action, Adventure, Drama            ",8.5,459913,44.0
Better Call Saul,"
Crime, Drama            ",8.8,347857,46.0
Supernatural,"
Drama, Fantasy, Horror            ",8.4,404273,44.0
The Blacklist,"
Crime, Drama, Mystery            ",8.0,213522,43.0
Fear Street: 1666,"
Horror, Mystery            ",6.7,27447,114.0
Animal Kingdom,"
Crime, Drama            ",8.2,26926,60.0
Brooklyn Nine-Nine,"
Comedy, Crime            ",8.4,248583,22.0
NCIS: Naval Criminal Investigative Service,"
Action, Crime, Drama            ",7.7,125619,60.0
Kingdom,"
Action, Drama, History            ",8.4,34906,45.0
Modern Family,"
Comedy, Drama, Romance            ",8.4,378030,22.0
Titans,"
Action, Adventure, Crime            ",7.7,73656,45.0
The Witcher,"
Action, Adventure, Fantasy            ",8.2,336484,60.0
Downton Abbey,"
Drama, Romance            ",8.7,171804,58.0
Shingeki no kyojin,"
Animation, Action, Adventure            ",9.0,242582,24.0
Suits,"
Comedy, Drama            ",8.4,374263,44.0
La casa de papel,"
Action, Crime, Mystery            ",8.3,341858,70.0
Schitt's Creek,"
Comedy            ",8.5,90728,22.0
Outlander,"
Drama, Fantasy, Romance            ",8.4,134991,64.0
The Last Kingdom,"
Action, Drama, History            ",8.4,94650,60.0
Black Mirror,"
Drama, Sci-Fi, Thriller            ",8.8,469407,60.0
Ozark,"
Crime, Drama, Thriller            ",8.4,206090,60.0
The Crown,"
Biography, Drama, History            ",8.6,169517,58.0
Sweet Tooth,"
Action, Adventure, Drama            ",7.9,37142,
Army of the Dead,"
Action, Crime, Horror            ",5.8,132378,148.0
Fargo,"
Crime, Drama, Thriller            ",8.9,341221,53.0
How I Met Your Mother,"
Comedy, Romance            ",8.3,624036,22.0
Community,"
Comedy            ",8.5,231013,22.0
Sons of Anarchy,"
Crime, Drama, Thriller            ",8.5,270445,45.0
StartUp,"
Crime, Thriller            ",7.9,22971,44.0
The Vampire Diaries,"
Drama, Fantasy, Horror            ",7.7,293434,43.0
365 dni,"
Drama, Romance            ",3.3,63620,114.0
How to Sell Drugs Online (Fast),"
Comedy, Crime, Drama            ",7.9,23960,30.0
Good Girls,"
Comedy, Crime, Drama            ",7.8,38618,43.0
13 Reasons Why,"
Drama, Mystery, Thriller            ",7.6,266386,60.0
The Queen's Gambit,"
Drama            ",8.6,336801,395.0
Legends of Tomorrow,"
Action, Adventure, Drama            ",6.8,95897,42.0
Star Trek: The Next Generation,"
Action, Adventure, Mystery            ",8.6,106181,44.0
Le dernier mercenaire,"
Action, Comedy            ",5.4,2606,110.0
Resort to Love,"
Comedy, Romance            ",5.7,1591,101.0
Evil,"
Crime, Drama, Horror            ",7.7,15048,42.0
The Expanse,"
Drama, Mystery, Sci-Fi            ",8.5,119644,60.0
New Amsterdam,"
Drama            ",8.1,27709,43.0
Line of Duty,"
Crime, Drama, Mystery            ",8.7,46751,60.0
The 100,"
Drama, Mystery, Sci-Fi            ",7.6,226962,43.0
New Girl,"
Comedy            ",7.7,200421,22.0
Prison Break,"
Action, Crime, Drama            ",8.3,492438,44.0
Sex Education,"
Comedy, Drama            ",8.3,177274,45.0
A Classic Horror Story,"
Drama, Horror, Mystery            ",5.7,8822,95.0
Feels Like Ishq,"
Comedy, Drama, Romance            ",6.6,848,32.0
Young Royals,"
Drama, Romance            ",8.6,16954,50.0
Shadow and Bone,"
Action, Adventure, Drama            ",7.7,60283,
The Hitman's Bodyguard,"
Action, Comedy, Crime            ",6.9,205979,118.0
Mad Men,"
Drama            ",8.6,216203,47.0
Élite,"
Crime, Drama, Thriller            ",7.5,59730,60.0
Gilmore Girls,"
Comedy, Drama            ",8.1,106650,44.0
Sky Rojo,"
Action, Adventure, Crime            ",6.5,6940,31.0
Lupin,"
Action, Crime, Drama            ",7.5,84428,45.0
Trollhunters: Rise of the Titans,"
Animation, Action, Adventure            ",6.9,2353,104.0
Heartland,"
Drama, Family            ",8.4,11764,45.0
Jurassic Park,"
Action, Adventure, Sci-Fi            ",8.1,897444,127.0
Family Guy,"
Animation, Comedy            ",8.1,312584,22.0
Daredevil,"
Action, Crime, Drama            ",8.6,374963,54.0
Dark,"
Crime, Drama, Mystery            ",8.8,312629,60.0
Boku no hîrô akademia,"
Animation, Action, Adventure            ",8.4,44367,24.0
Cobra Kai,"
Action, Comedy, Drama            ",8.6,122268,30.0
 Kingdom,"
Action, Drama, History            ",7.1,6388,92.0
Gotham,"
Action, Crime, Drama            ",7.8,216458,42.0
Billions,"
Drama            ",8.4,74094,60.0
Agents of S.H.I.E.L.D.,"
Action, Adventure, Drama            ",7.5,205119,45.0
Don't Breathe,"
Crime, Horror, Thriller            ",7.1,237601,88.0
The Ice Road,"
Action, Adventure, Drama            ",5.6,20561,109.0
Arrow,"
Action, Adventure, Crime            ",7.5,414712,42.0
Orange Is the New Black,"
Comedy, Crime, Drama            ",8.0,284554,59.0
Gossip Girl,"
Drama, Romance            ",7.4,159666,42.0
Bridgerton,"
Drama, Romance            ",7.3,83944,60.0
The Kominsky Method,"
Comedy, Drama            ",8.2,33440,30.0
Homeland,"
Crime, Drama, Mystery            ",8.3,322307,55.0
Riverdale,"
Crime, Drama, Mystery            ",6.8,126112,45.0
Sherlock,"
Crime, Drama, Mystery            ",9.1,839029,88.0
La cocinera de Castamar,"
Drama            ",7.4,1336,
Queen of the South,"
Action, Crime, Drama            ",8.0,23318,42.0
CSI: Crime Scene Investigation,"
Crime, Drama, Mystery            ",7.6,78589,60.0
The Umbrella Academy,"
Action, Adventure, Comedy            ",8.0,175513,60.0
Supergirl,"
Action, Adventure, Drama            ",6.2,115373,43.0
BoJack Horseman,"
Animation, Comedy, Drama            ",8.7,124318,25.0
The Lord of the Rings: The Fellowship of the Ring,"
Action, Adventure, Drama            ",8.8,1713028,178.0
I Think You Should Leave with Tim Robinson,"
Comedy            ",7.8,8095,16.0
South Park,"
Animation, Comedy            ",8.7,340148,22.0
Once Upon a Time,"
Adventure, Fantasy, Romance            ",7.7,212616,60.0
Star Trek: Discovery,"
Action, Adventure, Drama            ",7.2,101079,60.0
Teen Wolf,"
Action, Drama, Fantasy            ",7.6,132950,41.0
How to Get Away with Murder,"
Crime, Drama, Mystery            ",8.1,136135,43.0
Star Trek: Deep Space Nine,"
Action, Adventure, Drama            ",8.0,55687,45.0
Seinfeld,"
Comedy            ",8.8,264801,22.0
Spartacus: Blood and Sand,"
Action, Adventure, Biography            ",8.5,228484,55.0
Hawaii Five-0,"
Action, Crime, Drama            ",7.3,68627,42.0
Good Witch,"
Comedy, Drama, Fantasy            ",7.3,8268,48.0
The Sinner,"
Crime, Drama, Mystery            ",7.9,96901,45.0
Arrested Development,"
Comedy            ",8.7,284373,22.0
Escape Room,"
Action, Adventure, Horror            ",6.4,99351,99.0
You,"
Crime, Drama, Romance            ",7.7,157666,45.0
Mindhunter,"
Crime, Drama, Thriller            ",8.6,235694,60.0
Jaws,"
Adventure, Thriller            ",8.0,558731,124.0
Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.3,265845,23.0
The Punisher,"
Action, Crime, Drama            ",8.5,194777,53.0
Star Trek: Voyager,"
Action, Adventure, Sci-Fi            ",7.8,61917,44.0
The Departed,"
Crime, Drama, Thriller            ",8.5,1227522,151.0
Narcos,"
Biography, Crime, Drama            ",8.8,375261,49.0
The Serpent,"
Crime, Drama, Thriller            ",7.6,33936,58.0
Star Wars: The Clone Wars,"
Animation, Action, Adventure            ",8.3,71904,23.0
"Murder, She Wrote","
Crime, Drama, Mystery            ",7.0,20330,50.0
Fatherhood,"
Comedy, Drama            ",6.7,26508,109.0
Blue Bloods,"
Crime, Drama, Mystery            ",7.6,34064,43.0
Heist,"
Documentary, Crime, Mystery            ",6.8,846,41.0
